"model","nBites","Emax","nSim","initial_theta","theta","initial_r","r","min_n2ll","rmse_timing","rmse_timing_nNA","rmse_intake","rmse_intake_nNA","ID"
"FPM_Time",81,160.625672618654,1,29.9622399208704,30.4852528169559,-0.0242177040956277,-0.0240269168640318,198.578199329381,0.169736212383226,0,0.783808475445676,0,1
"FPM_Time",80,186.555298789046,1,15.4248757623068,15.0443000486919,0.295623497487931,0.310971548152259,196.126616504953,0.120036278931191,0,0.85108389315547,0,2
"FPM_Time",50,101.349497892744,1,15.5088715135047,14.4526732357537,0.377577850509919,0.408488380803205,122.57913538187,0.0659918247177189,0,0.683589281921935,0,3
"FPM_Time",98,163.878660903295,1,42.9895117770248,44.8930247385175,0.108863718126311,0.0775519081640241,240.255105366677,0.125449380525469,0,0.691700710874319,0,4
"FPM_Time",23,98.0708211691046,1,17.306566420867,17.6095535453661,0.292596100692001,0.303661799024686,56.3864026542125,0.123163323622876,0,0.813123764737377,0,5
"FPM_Time",60,84.1528348747395,1,12.5439518914879,11.3834020784149,0.401108212599007,0.464760909686406,147.094962381787,0.211380029531441,0,0.709269549674355,0,6
"FPM_Time",12,29.9174015582984,1,6.32905821950018,7.60862543468465,0.127064848552925,-0.00511724591924584,29.4189924676148,0.956621322346025,0,0.586795336381244,0,7
"FPM_Time",15,110.145651708448,1,12.6029510102093,11.7212235026327,0.248415597637147,0.274011435596185,36.7737407985074,0.191229736710346,0,0.70685461833645,0,8
"FPM_Time",102,160.997880534458,1,26.3760887411845,25.153876407269,0.345152140097046,0.37967251597304,250.061437029967,0.105661109673899,0,0.759455118980227,0,9
"FPM_Time",57,147.197969600354,1,46.5719857111457,47.5567749196117,0.589422007802567,0.590295138176175,139.740231586162,0.0292023814139539,0,0.770801896232852,0,10
"FPM_Time",124,86.0952014356876,1,26.2720990247178,25.6410198906934,0.732950605028098,0.803094791091985,303.996257770701,0.0744793219657173,0,0.730995202502731,0,11
"FPM_Time",45,137.285351879978,1,18.6619647095574,17.7036975709229,0.0944674214226841,0.112441548928151,110.321221741004,0.202472062307123,0,0.707864925235836,0,12
"FPM_Time",91,79.6901533479216,1,7.3928605259004,7.28114487401035,-0.0136745100588739,-0.00191597326775086,223.094026354717,1.32202307221461,0,0.761109377327389,0,13
"FPM_Time",61,173.65785447699,1,24.4670318234681,24.1786379573243,-0.00270228215972471,0.00812809478375948,149.546546182902,0.421631948560601,0,0.853097555876808,0,14
"FPM_Time",68,144.502362152368,1,1.17071688676051,1.14766976251631,0.116770903881736,0.116522472656052,166.707623964785,0.206571882796393,0,0.703213956615737,0,15
"FPM_Time",71,91.280028240404,1,33.3279302690917,33.6651252606785,0.133715461039911,0.0963228117838821,174.062383046713,0.150518479110132,0,0.629317124897771,0,16
"FPM_Time",68,105.358520275542,1,26.1844570651007,24.4705113480375,0.0234045196151627,0.0724351867215831,166.707624636698,0.325724088346038,0,0.755632612369079,0,17
