"Bite","EstimatedTime_procNoise","CumulativeGrams_procNoise","BiteGrams_procNoise","theta","r"
1,0.0166054969184272,1.11227857468863,1.11227857468863,"t = 70","r = -1.29"
2,0.0386485737656082,2.44740239092481,1.33512381623619,"t = 70","r = -1.29"
3,0.0632285120115102,3.77162581445357,1.32422342352875,"t = 70","r = -1.29"
4,0.0859563866573357,4.86349344121399,1.09186762676042,"t = 70","r = -1.29"
5,0.119779013651385,6.28910875925182,1.42561531803784,"t = 70","r = -1.29"
6,0.141631129363652,7.1017376209383,0.812628861686481,"t = 70","r = -1.29"
7,0.180669731939601,8.37628549108002,1.27454787014172,"t = 70","r = -1.29"
8,0.223656942824203,9.5610678560457,1.18478236496568,"t = 70","r = -1.29"
9,0.288050483077698,10.999790229294,1.43872237324834,"t = 70","r = -1.29"
10,0.360488155552951,12.2536463254698,1.25385609617577,"t = 70","r = -1.29"
11,0.455122475238523,13.4744896137781,1.22084328830828,"t = 70","r = -1.29"
12,0.553738927816758,14.3933152972343,0.918825683456179,"t = 70","r = -1.29"
13,0.75589062675628,15.5727727086458,1.17945741141149,"t = 70","r = -1.29"
14,1.37885537060701,16.762946346038,1.19017363739227,"t = 70","r = -1.29"
1,0.0568098404983493,1.21692198354101,1.21692198354101,"t = 23.03","r = -1.29"
2,0.129883131301804,2.55309164712769,1.33616966358668,"t = 23.03","r = -1.29"
3,0.211693770874844,3.80992835415442,1.25683670702672,"t = 23.03","r = -1.29"
4,0.276775669750396,4.66773304731782,0.857804693163398,"t = 23.03","r = -1.29"
5,0.40021342444094,6.02968402393641,1.36195097661859,"t = 23.03","r = -1.29"
6,0.528548607058679,7.16835563942619,1.13867161548978,"t = 23.03","r = -1.29"
7,0.690277656475622,8.31567829820439,1.14732265877819,"t = 23.03","r = -1.29"
8,0.901222857357054,9.47570495063832,1.16002665243393,"t = 23.03","r = -1.29"
9,1.29392183617039,10.9992135195222,1.5235085688839,"t = 23.03","r = -1.29"
10,1.7906540288986,12.2528029554433,1.25358943592108,"t = 23.03","r = -1.29"
11,2.26306887240911,13.0617303739891,0.808927418545846,"t = 23.03","r = -1.29"
12,3.71134239275904,14.4725986690413,1.41086829505211,"t = 23.03","r = -1.29"
13,7.61726112975555,15.8322108295833,1.35961216054207,"t = 23.03","r = -1.29"
14,19.3765915540211,16.6960024231508,0.863791593567493,"t = 23.03","r = -1.29"
1,0.0190448987343698,1.2765082563565,1.2765082563565,"t = 70","r = -0.5"
2,0.0360705457329722,2.32777753205371,1.05126927569721,"t = 70","r = -0.5"
3,0.0615365885901044,3.75811173085017,1.43033419879646,"t = 70","r = -0.5"
4,0.0880034995219406,5.08431828651311,1.32620655566294,"t = 70","r = -0.5"
5,0.111130826531786,6.12525133929907,1.04093305278596,"t = 70","r = -0.5"
6,0.134167156884289,7.06502242085032,0.939771081551243,"t = 70","r = -0.5"
7,0.17756958813287,8.60716469571553,1.54214227486522,"t = 70","r = -0.5"
8,0.208800388719996,9.55804843539678,0.950883739681247,"t = 70","r = -0.5"
