"model","nBites","Emax","nSim","initial_int","int","initial_linear","linear","initial_quad","quad","min_n2ll","rmse_timing","rmse_timing_nNA","rmse_intake","rmse_intake_nNA","ID"
"Kissileff_Time",44,95.6261122505287,1,-6.09441803281111,-8.13721960841104,1.47381573751928,2.03132029561229,0.911136704270212,0.864164755655065,107.869639034469,0.0560611817488471,0,0.659285912905098,0,1
"Kissileff_Time",38,96.1273790546732,1,-3.82063546171093,-1.6308004484394,0.958932032013374,-0.406567883104418,1.3350969947374,1.48463538090362,93.1601428574107,0.0466999070455231,0,0.668832725711658,0,2
"Kissileff_Time",62,21.6037666633882,1,-6.7026221237664,6.38669940017463,0.89404909046797,-3.13766646755347,0.229981494663781,0.52954647928882,151.998131115736,1.19588174009015,5,0.714202747797497,0,3
"Kissileff_Time",67,93.8968071766261,1,-5.78080263081624,0.00049126195411836,-1.35954073672487,-3.14516544629761,1.51303656520609,1.65518474043239,164.256041254934,0.0867268882210499,0,0.696531327134238,0,4
"Kissileff_Time",61,36.9606305915639,1,0.506226217173325,7.83505116382742,-1.47567959065933,-4.39691147837731,0.76041945519821,1.03027710275111,149.54654516746,0.746678102543406,5,0.695455303686582,0,5
"Kissileff_Time",42,38.275126717493,1,0.584973678461219,-0.429451178474559,1.55828060817384,1.49657691563742,0.280752638278289,0.313266330638292,102.966473786758,0.207919188187281,0,0.705215267079448,0,6
"Kissileff_Time",23,133.197390979266,1,-0.684399464056608,-1.53912077357454,-0.720446140396209,-0.143752936530184,1.91528791108159,1.8484541372273,56.3864024738868,0.0174036676524395,0,0.37777407697333,0,7
"Kissileff_Time",65,63.2566386186042,1,-4.51497086321326,0.464274684753421,0.714546146366569,-1.89901069002448,1.1499208958233,1.43784206020327,159.352876336313,0.0773868478637492,0,0.716515583198369,0,8
"Kissileff_Time",8,152.194560121185,1,10.7435399563529,11.6168783462497,-0.0482764900056587,-0.464820334783448,1.26275870595016,1.30071548281828,25.1101858822677,0.0154714925767309,0,0.335545383035813,0,9
"Kissileff_Time",53,21.1812225171956,1,-2.6415070301448,8.24207845807364,-0.0558831490826162,-4.17103036458893,0.406278584846774,0.7710420228603,129.933885441814,1.09167714864296,6,0.706945423257772,0,10
"Kissileff_Time",67,15.1687310351554,1,-3.90611046214477,1.01039144949912,-2.47279988258219,-3.0206920083257,0.219780726086935,0.231193627236717,164.256043980946,0.173510512445907,0,0.707945168384917,0,11
"Kissileff_Time",16,79.3629606088704,1,2.17927940477181,4.861271276223,-1.125390901428,-1.91320991149484,0.937927647343655,0.986120981667716,39.2253243405262,0.101972636478765,0,0.490487633103761,0,12
"Kissileff_Time",56,38.7450423799015,1,-4.4539245111986,-0.847448681968349,1.26107387891946,0.716754321515352,0.012004612865076,0.0286873622693506,137.288638167453,0.557381600853292,0,0.708189659030622,0,13
"Kissileff_Time",55,50.9821152735727,1,-5.12699441129156,6.17024675750199,-3.42792014900957,-6.13584282075047,0.62078610141893,0.769730337931569,134.837056086755,0.0873363862432181,0,0.705710996989768,0,14
