"model","nBites","Emax","nSim","initial_theta","theta","initial_r","r","min_n2ll","u95CI_r","u95CI_r_n2ll","u95CI_r_chisq","u95CI_r_chisq.p","l95CI_r","l95CI_r_n2ll","l95CI_r_chisq","l95CI_r_chisq.p","u95CI_theta","u95CI_theta_n2ll","u95CI_theta_chisq","u95CI_theta_chisq.p","l95CI_theta","l95CI_theta_n2ll","l95CI_theta_chisq","l95CI_theta_chisq.p","ID","r_fit","theta_fit"
"FPM_Time",58,201.804749904752,1,36.2655366726454,37.1741142022682,-0.0873188595160085,-0.0999578043440759,142.191796914687,-0.0929449807290968,146.0403730986,3.84857618391254,0.0497882392396076,-0.10229627347978,146.031903915324,3.84010700063666,0.050040327720417,37.5810348917199,146.044301381234,3.85250446654695,0.0496717682226864,34.9790062085252,146.048090920821,3.85629400613408,0.0495596835784022,1,FALSE,TRUE
"FPM_Time",41,29.3904727187536,1,5.99919454500454,7.31320295840897,-0.103409787130799,-0.182226566793725,100.514890950977,-0.113365344430156,104.355673552958,3.84078260198159,0.0500201687745558,-0.220561612187096,104.356039255774,3.84114830479724,0.0500092603226887,7.63484874711937,104.374340282539,3.8594493315624,0.0494665611648741,4.59756930848261,104.36951373514,3.8546227841634,0.0496090809749572,2,FALSE,TRUE
"FPM_Time",80,91.149314607834,1,41.0195646998071,44.1408210106388,0.117863140526904,0.0414134589655988,196.126616423343,0.0419323444628156,199.962680861199,3.83606443785567,0.0501611313288884,0.00460218248748664,199.96768039942,3.84106397607732,0.0500117755186049,44.7453101564007,199.995930824329,3.8693144009861,0.049176605838986,37.4961596527197,199.993023245362,3.86640682201897,0.0492618787290964,3,FALSE,TRUE
"FPM_Time",95,242.57485643206,1,22.996892630298,22.7511638329843,0.102267843596027,0.10890418991526,232.90035708008,0.107976025255361,236.743180096806,3.84282301672579,0.0499593378893706,0.0967750698942196,236.744734452686,3.84437737260575,0.049913050331916,23.8283858745458,236.74643933259,3.84608225251009,0.0498623323826226,22.1842754528467,236.745584668479,3.84522758839913,0.0498877507134363,4,TRUE,TRUE
"FPM_Time",125,182.630887024697,1,40.9919942016044,39.1831535765833,0.437115409738847,0.469929165181993,306.447838477241,0.46666443272587,310.284565777931,3.83672730069054,0.0501413019434965,0.424368208748836,310.294243647378,3.84640517013685,0.0498527321399947,43.0723058114447,310.299985490378,3.85214701313703,0.049682354569176,38.9780491132027,310.299092641625,3.85125416438399,0.0497088076069838,5,TRUE,TRUE
"FPM_Time",42,80.0151328591962,1,12.4872354604565,11.4856707609724,0.265580460743434,0.297172831278294,102.966473772982,0.329394551905604,106.808204515941,3.84173074295941,0.0499918921192629,0.202805612208551,106.822152851481,3.85567907849912,0.0495778533507483,14.0475050675321,106.824325530045,3.85785175706332,0.0495136869025434,11.0441094286074,106.821237579635,3.85476380665307,0.0496049106728685,6,TRUE,TRUE
"FPM_Time",51,106.127894759431,1,7.50063338886168,8.16145329647341,0.271180956307612,0.243904399001023,125.030723698239,0.250018439555369,128.864095876148,3.83337217790827,0.0502417548718039,0.246753464329321,128.870512955142,3.83978925690207,0.0500498116919527,8.08422319008538,128.86579685564,3.83507315740061,0.0501908007140448,7.06111542301153,128.863537563438,3.83281386519855,0.0502584914753738,7,FALSE,TRUE
"FPM_Time",70,148.811545782807,1,16.4867950596647,15.5890244273325,0.200039683013663,0.221576365116692,171.610792467795,0.223585320290768,175.454643452048,3.84385098425227,0.0499287207077537,0.192765473336815,175.459893841765,3.84910137396952,0.0497726510032652,17.5317653703176,175.495985195209,3.88519272741325,0.0487136711419924,15.4744501853686,175.458707459463,3.84791499166761,0.049807871509616,8,TRUE,TRUE
"FPM_Time",42,110.808158063708,1,39.1675899807642,39.5349403230924,-0.0544272156401407,-0.0413296350399377,102.966477228199,-0.0676779266684344,106.8019918407,3.83551461250049,0.0501775855123359,-0.102632737483532,106.806096479576,3.8396192513764,0.0500548867735718,41.2727591776757,106.787000971039,3.82052374284005,0.0506284103082407,37.1308005230288,106.788576680944,3.82209945274491,0.0505808228121947,9,FALSE,TRUE
"FPM_Time",58,113.395385133521,1,19.2602775007315,17.9131734883607,0.271745314527395,0.311545368360817,142.19180042183,0.31059921136954,146.030576708678,3.83877628684749,0.0500800593649702,0.302425145938191,146.016123989632,3.82432356780197,0.0505137334966429,20.4910223934286,145.969927093812,3.7781266719816,0.0519267663415715,18.0631193286186,146.022650748645,3.83085032681501,0.0503173995038957,10,FALSE,TRUE
